serial_number,book,unit_number,title,verses,verse_range,format,irregular,unique,cells,type,cell_verse_map
40,Leviticus,2,Sacrifices for Expiation,Leviticus 4:1-5:26,4:1-5:26,3x3,False,False,9,,"{""1Aa"": ""4:1-4:12"", ""1B"": ""4:22-4:26"", ""1Ca"": ""4:27-4:31"", ""1Ab"": ""4:13-4:21"", ""1Cb"": ""4:32-4:35"", ""2A"": ""5:14-5:16"", ""2B"": ""5:17-5:19"", ""2C"": ""5:20-5:26""}"
41,Leviticus,3,Administrative Order,Leviticus 6:1-7:38,6:1-7:38,3x3,False,False,9,,"{""1A"": ""6:17-6:23"", ""1B"": ""7:1-7:6"", ""1C"": ""7:7-7:10"", ""3A"": ""7:11-7:21"", ""3B"": ""7:22-7:27"", ""3C"": ""7:28-7:38""}"
42,Leviticus,4,Inauguration of the Cult,Leviticus 8:1-10:20,8:1-10:20,2x2,False,False,6,,"{""1Aa"": ""8:1-8:5"", ""1Ba"": ""9:1-9:5"", ""1Ab"": ""8:6-8:9"", ""1B"": ""9:6"", ""1Ac"": ""8:10-8:13"", ""1Bc"": ""9:7"", ""1Ad"": ""8:14-8:17"", ""1Bd"": ""9:8-9:11"", ""1Ae"": ""8:18-8:21"", ""1Be"": ""9:12-9:14"", ""1Af"": ""8:22-8:29"", ""1Bf"": ""9:15-9:21"", ""1Ag"": ""8:30-8:36"", ""1Bg"": ""9:22-9:24"", ""2Aa"": ""10:1-10:7"", ""2Ba"": ""10:12-10:15"", ""2Ab"": ""10:8-10:11"", ""2Bb"": ""10:16-10:20""}"
43,Leviticus,5,Diet Laws,Leviticus 11:1-47,11:1-47,2x2,False,False,4,,"{""1Aa"": ""11:1-11:8"", ""1Ba"": ""11:24-11:28"", ""1Ab"": ""11:9-11:12"", ""1Bb"": ""11:29-11:31"", ""1Ac"": ""11:13-11:19"", ""1Bc"": ""11:32-11:38"", ""1A"": ""11:41-11:42"", ""1B"": ""11:43-11:47""}"
44,Leviticus,6,Childbirth,Leviticus 12:1-8,12:1-8,2x2,False,False,4,,"{""1A"": ""12:6-12:7"", ""1B"": ""12:8""}"
45,Leviticus,7,Scale Disease Diagnosis,Leviticus 13:1-46,13:1-46,2x2,False,False,4,,"{""1Aa"": ""13:29-13:37"", ""1Ba"": ""13:40-13:44"", ""1Ab"": ""13:38-13:39"", ""1Bb"": ""13:45-13:46""}"
46,Leviticus,8,Purification Procedures,Leviticus 13:47-14:57,13:47-14:57,3x3,False,False,9,,"{""1A"": ""14:1-14:9"", ""1B"": ""14:10-14:20"", ""1C"": ""14:21-14:32"", ""3A"": ""14:33-14:38"", ""3B"": ""14:39-14:47"", ""3C"": ""14:48-14:57""}"
47,Leviticus,9,Genital Discharges,Leviticus 15:1-33,15:1-33,2x2,False,False,4,,"{""1A"": ""15:19-15:24"", ""1B"": ""15:25-15:33""}"
48,Leviticus,10,Day of Purgation,Leviticus 16:1-34,16:1-34,2x3,False,False,6,,"{""1A"": ""16:29-16:31"", ""1B"": ""16:32-16:33"", ""1C"": ""16:34""}"
49,Leviticus,11,Slaughter and Blood,Leviticus 17:1-16,17:1-16,2x3,False,False,6,,"{""1A"": ""17:13-17:14"", ""1B"": ""17:8-17:9"", ""1C"": ""17:15-17:16""}"
50,Leviticus,12,Illicit Sexual Practices,Leviticus 18:1-30,18:1-30,3x3,False,False,9,,"{""1A"": ""18:24-18:25"", ""1B"": ""18:26-18:29"", ""1C"": ""18:30""}"
51,Leviticus,13,Holiness,Leviticus 19:1-37,19:1-37,232,True,True,7,,"{""1Aa"": ""19:26-19:28"", ""1Ba"": ""19:32"", ""1Ab"": ""19:29-19:30"", ""1Bb"": ""19:33-19:34"", ""1Ac"": ""19:31"", ""1B"": ""19:25"", ""1A"": ""19:21-19:22"", ""1Bc"": ""19:35-19:37""}"
52,Leviticus,14,Penalties for Sexual Offenses,Leviticus 20:1-27,20:1-27,3x3,False,False,9,,"{""1A"": ""20:22-20:24"", ""1B"": ""20:25-20:26"", ""1C"": ""20:27""}"
53,Leviticus,15,Instructions for Priests,Leviticus 21:1-24,21:1-24,2x3,False,False,6,,"{""1A"": ""21:10-21:12"", ""1B"": ""21:13-21:15"", ""1C"": ""21:16-21:24""}"
54,Leviticus,16,Sanctified Objects,Leviticus 22:1-25,22:1-25,2x3,False,False,6,,"{""1A"": ""22:9"", ""1B"": ""22:10-22:16"", ""1C"": ""22:17-22:25""}"
55,Leviticus,17,Animal Birth,Leviticus 22:26-33,22:26-33,2x2,False,False,4,,"{""1A"": ""22:31"", ""1B"": ""22:32-22:33""}"
56,Leviticus,18,Holiday Calendar,Leviticus 23:1-44,23:1-44,2x2,False,False,4,,"{""1A"": ""23:4-23:8"", ""1B"": ""23:15-23:22"", ""1Aa"": ""23:23-23:25"", ""1Ba"": ""23:33-23:38"", ""1Ab"": ""23:26-23:32"", ""1Bb"": ""23:39-23:44""}"
57,Leviticus,19,Tabernacle Oil and Blasphemy,Leviticus 24:1-23,24:1-23,2x2,False,False,4,,"{""1A"": ""24:10-24:12"", ""1B"": ""24:13-24:23""}"
