path,current_dwt,inferred_language,confidence,target_template,page_type,notes
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 10.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 11.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 12.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 7.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 8.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Masechet Chullin Perek 9.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Chullin/Pirkei Masechet Chullin.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kinnim/Masechet Kinnim Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kinnim/Masechet Kinnim Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kinnim/Masechet Kinnim Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kinnim/Pirkei Masechet Kinnim.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Masechet Kritot Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Kritot/Pirkei Masechet Kritot.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Masechet Meilah Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
